id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f198ef0a860;cas;out1;heat input;in1;216.01942093128108;kg / s;51.42857142857143;bar;418.8768060332569;kJ / kg;29.9999999989015;C;nan;nan;1
0x7f198ef0a898;heat input;out1;turb1;in1;216.01942093128108;kg / s;51.09167189905746;bar;619.952068945425;kJ / kg;219.99999999978053;C;nan;nan;1
0x7f198ef0aa58;turb1;out1;reheater;in1;216.01942093128108;kg / s;4.516381743488973;bar;447.41626478996403;kJ / kg;48.501047599161154;C;nan;nan;1
0x7f198ef0ac18;reheater;out1;turb2;in1;216.01942093128108;kg / s;4.471200381586302;bar;572.1126236416086;kJ / kg;171.23402199012918;C;nan;nan;1
0x7f198ef0add8;turb2;out1;ambient;in1;216.01942093128108;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
