id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;197.5994949825195;kg / s;57.14285714285714;bar;417.75059071737434;kJ / kg;29.999999999992497;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;197.5994949825195;kg / s;55.55967426749901;bar;614.5012960702475;kJ / kg;215.00000000001012;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;197.5994949825195;kg / s;4.865237183653486;bar;441.92518384147786;kJ / kg;43.144164958465296;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;197.5994949825195;kg / s;4.631125234442441;bar;616.9979023215246;kJ / kg;215.0000000000013;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;197.5994949825195;kg / s;1.0;bar;456.74672779680174;kJ / kg;57.08350331311948;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;220.35824199530543;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;112.54807558362472;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;107.81016641168071;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;112.54807558362472;kg / s;9.750392143994732;bar;30.404988645205005;kJ / kg;38.31142846185486;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;107.81016641168071;kg / s;9.750392143994732;bar;54.95673825557848;kJ / kg;53.17244055874954;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;220.35824199530543;kg / s;9.750392143994732;bar;42.41692061210042;kJ / kg;45.61058276144297;C;nan;nan;0;1
