id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f198ef0a860;cas;out1;heat input;in1;175.51577950666587;kg / s;51.42857142857143;bar;418.87680603302687;kJ / kg;29.99999999868237;C;nan;nan;1
0x7f198ef0a898;heat input;out1;turb1;in1;175.51577950666587;kg / s;51.206471627791245;bar;619.947361093161;kJ / kg;219.9999999997878;C;nan;nan;1
0x7f198ef0aa58;turb1;out1;reheater;in1;175.51577950666587;kg / s;3.6193697802219114;bar;437.5505816051806;kJ / kg;38.568097494469555;C;nan;nan;1
0x7f198ef0ac18;reheater;out1;turb2;in1;175.51577950666587;kg / s;3.583836419051892;bar;547.273719000247;kJ / kg;146.81504593628512;C;nan;nan;1
0x7f198ef0add8;turb2;out1;ambient;in1;175.51577950666587;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
