id;s;s_id;t;t_id;design;offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;INCOMP::S800;INCOMP::S8000;INCOMP::S800_set;air;air0;air_set;balance
0x7fa8b6ec44e0;compressor train_splitter_0;out2;compressor train_splitter_1;in1;[];[];304.4199166484358;kg / s;False;304.4199166484358;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;16.856579442031855;kJ / kg;False;16.856579442031855;False;nan;nan;nan;False;30.0;C;False;30.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e58668;compressor train_merge_1;out1;compressor train_merge_0;in1;[];[];304.4199166484358;kg / s;False;304.4199166484358;False;nan;nan;nan;False;8.0;bar;False;8.0;False;nan;nan;nan;False;395.5551574449985;kJ / kg;False;395.5551574449985;False;nan;nan;nan;False;240.04004455832614;C;False;240.04004455832614;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e587f0;compressor train_heat exchanger_0;out1;compressor train_compressor_1;in1;['T'];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;4.995;bar;False;4.995;False;nan;nan;nan;False;438.7153715805381;kJ / kg;False;438.7153715805381;False;nan;nan;nan;False;40.0;C;False;40.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7fa8b6e58978;compressor train_compressor_1;out1;compressor train_heat exchanger_1;in1;['T'];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;65.72228794451017;bar;False;65.72228794451017;False;nan;nan;nan;False;843.8596923452361;kJ / kg;False;843.8596923452361;False;nan;nan;nan;False;429.56755984680433;C;False;429.56755984680433;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
0x7fa8b6e58b00;compressor train_splitter_1;out1;compressor train_heat exchanger_1;in2;[];[];304.4199166484358;kg / s;False;304.4199166484358;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;16.856579442031855;kJ / kg;False;16.856579442031855;False;nan;nan;nan;False;30.0;C;False;30.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e58c88;compressor train_heat exchanger_1;out2;compressor train_vessel_1;in1;[];[];304.4199166484358;kg / s;False;304.4199166484358;False;nan;nan;nan;False;9.95;bar;False;9.95;False;nan;nan;nan;False;395.5551574449985;kJ / kg;False;395.5551574449985;False;nan;nan;nan;False;240.0;C;False;240.0;True;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e58e10;compressor train_vessel_1;out1;compressor train_merge_1;in2;[];[];304.4199166484358;kg / s;False;304.4199166484358;False;nan;nan;nan;False;8.0;bar;False;8.0;False;nan;nan;nan;False;395.5551574449985;kJ / kg;False;395.5551574449985;False;nan;nan;nan;False;240.04004455832614;C;False;240.04004455832614;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e58f98;compressor train_splitter_1;out2;compressor train_outlet;in2;[];[];0.0;kg / s;False;0.0;False;nan;nan;nan;False;10.0;bar;False;10.0;False;nan;nan;nan;False;16.856579442031855;kJ / kg;False;16.856579442031855;False;nan;nan;nan;False;30.0;C;False;30.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e58f60;compressor train_inlet;out2;compressor train_merge_1;in1;[];[];0.0;kg / s;False;0.0;False;nan;nan;nan;False;8.0;bar;False;8.0;False;nan;nan;nan;False;16.704114858722512;kJ / kg;False;16.704114858722512;False;nan;nan;nan;False;30.0;C;False;30.0;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;1;1;False;0;0;False;False
0x7fa8b6e632e8;compressor train_heat exchanger_1;out1;compressor train_outlet;in3;[];[];276.6392929755273;kg / s;False;276.6392929755273;False;nan;nan;nan;False;65.65656565656566;bar;False;65.65656565656566;False;nan;nan;nan;False;427.1315106377203;kJ / kg;False;427.1315106377203;False;nan;nan;nan;False;39.99999999999909;C;False;39.99999999999909;False;nan;nan;nan;False;nan;nan;False;nan;False;nan;nan;nan;False;0;0;False;1;1;False;False
