label;cp;busses;bus_factors;mode;design;offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;kA_char1;kA_char1_set;kA_char1_method;kA_char1_param;kA_char2;kA_char2_set;kA_char2_method;kA_char2_param;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;SQ1;SQ1_set;SQ1_var;SQ2;SQ2_set;SQ2_var;Sirr;Sirr_set;Sirr_var
tes discharger;heat_exchanger;[];[];auto;['pr1', 'pr2', 'ttd_l'];['zeta1', 'zeta2', 'kA'];-54566364.68282909;False;False;4424951.39103838;False;False;12.331517311882672;False;False;0x7f53934f5f98;False;HE_HOT;m;0x7f539349e908;False;HE_COLD;m;15.000000000001023;False;False;10.000000000000114;True;False;0.95;True;False;0.95;True;False;2001.2958687904736;False;False;245.0730611173967;False;False;-135208.61541505155;False;False;144862.95918253867;False;False;9654.343767487124;False;False
reheater;heat_exchanger;[];[];auto;['pr2', 'ttd_l'];['zeta2', 'kA'];-44258841.557026714;False;False;3589083.195332391;False;False;12.331517311882157;False;False;0x7f539349e9b0;False;HE_HOT;m;0x7f539349ea90;False;HE_COLD;m;15.0;False;False;10.0;True;False;0.95;False;False;0.95;True;False;2234.7809078633372;False;False;3.0224588658288525;False;False;-105583.5881990184;False;False;113376.35749622957;False;False;7792.769297211169;False;False
