label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;Tamb;Tamb_set;Tamb_var;Tamb_ref;Tamb_ref_set;Tamb_ref_var;kA_char;kA_char_set;kA_char_method;kA_char_param;SQ1;SQ1_set;SQ1_var;SQ2;SQ2_set;SQ2_var;Sirr;Sirr_set;Sirr_var
intercooler;heat_exchanger_simple;['0x7f2d02080908'];[None];[-31987366.846259117];['0x7f2d02080b70'];auto;['pr'];['zeta'];-31987366.846259117;False;False;0.99;True;False;0.8270545275243512;False;False;1;False;False;1;False;False;1;False;False;nan;False;False;1;False;False;1;False;False;0x7f2d020b5748;False;HE_HOT;m;-80819.56569687474;False;False;nan;False;False;nan;False;False
after cooler;heat_exchanger_simple;['0x7f2d02080908'];[None];[-78787017.55168825];['0x7f2d02080b70'];auto;['pr'];['zeta'];-78787017.55168825;False;False;0.99;True;False;109.54973008020163;False;False;1;False;False;1;False;False;1;False;False;nan;False;False;1;False;False;1;False;False;0x7f2d020b5630;False;HE_HOT;m;-166685.10122033887;False;False;nan;False;False;nan;False;False
