label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;num_out;num_out_set;num_out_var
compressor train_splitter_0;splitter;[];[];[];[];auto;[];[];2;True;False
compressor train_splitter_1;splitter;[];[];[];[];auto;[];[];2;True;False
