label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;Sirr_var;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor stage 1;compressor;['0x7f2d1175c898'];[None];[36323374.116138175];['0x7f2d02080898'];auto;['eta_s'];['eta_s_char'];36323374.116138175;False;False;0.8500000000000002;True;False;5.0;True;False;0;False;False;11575.570960342828;False;False;0x7f2d020b50b8;False;GENERIC;nan;0x7f2d020b5400;False;default;m
compressor stage 2;compressor;['0x7f2d1175c898'];[None];[73676625.88386182];['0x7f2d02080898'];auto;['eta_s'];['eta_s_char'];73676625.88386182;False;False;0.8500000000000029;True;False;13.090503486693365;False;False;0;False;False;16412.30670530327;False;False;0x7f2d02080278;False;GENERIC;nan;0x7f2d020b5400;False;default;m
