label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;Sirr;Sirr_set;Sirr_var;pr_char;pr_char_set;pr_char_method;pr_char_param
compressor train_vessel_0;vessel;[];[];[];[];man;['pr'];['zeta'];0.5025125628140703;False;False;50292.65734266986;False;False;131.00589017402794;False;False;0x7fd746958d68;False;default;nan
compressor train_vessel_1;vessel;[];[];[];[];man;['pr'];['zeta'];0.5025125628140703;False;False;13599.066719626584;False;False;238.39167970917367;False;False;0x7fd74693f908;False;default;nan
