label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;num_inter;num_inter_set;num_inter_var
compressor train_inlet;subsys_interface;[];[];[];[];auto;[];[];3;True;False
compressor train_outlet;subsys_interface;[];[];[];[];auto;[];[];3;True;False
