label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;kA_char1;kA_char1_set;kA_char1_method;kA_char1_param;kA_char2;kA_char2_set;kA_char2_method;kA_char2_param;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;SQ1;SQ1_set;SQ1_var;SQ2;SQ2_set;SQ2_var;Sirr;Sirr_set;Sirr_var
compressor train_heat exchanger_0;heat_exchanger;['0x7fd7469ad390'];[None];[-29165956.019246403];['0x7fd74693f2b0'];auto;['ttd_u', 'ttd_l', 'pr1', 'pr2'];['zeta1', 'zeta2'];-29165956.019246403;False;False;2633130.863851585;False;False;11.076531143835442;False;False;0x7fd74693f278;False;HE_HOT;m;0x7fd74693fac8;False;HE_COLD;m;12.227682958889716;False;False;10.000000000001023;False;False;0.999;True;False;0.995;True;False;0.0998459401684354;False;False;553.694138949075;False;False;-74123.49744939135;False;False;75919.45608291344;False;False;1795.9586335220956;False;False
compressor train_heat exchanger_1;heat_exchanger;['0x7fd7469ad390'];[None];[-68805999.40289783];['0x7fd74693f2b0'];auto;['ttd_u', 'ttd_l', 'pr1', 'pr2'];['zeta1', 'zeta2'];-68805999.40289783;False;False;1138826.2062110074;False;False;60.41834919818232;False;False;0x7fd746961240;False;HE_HOT;m;0x7fd746961550;False;HE_COLD;m;186.90626382574294;False;False;10.000000000025125;False;False;0.999;True;False;0.995;True;False;13.041952013123675;False;False;153.23035762570998;False;False;-143035.57259976157;False;False;170973.29739145984;False;False;27937.724791698274;False;False
