id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f198ef0a860;cas;out1;heat input;in1;297.02670378050925;kg / s;40.0;bar;421.1759430318556;kJ / kg;29.99999999933067;C;nan;nan;1
0x7f198ef0a898;heat input;out1;turb1;in1;297.02670378050925;kg / s;39.17579490310677;bar;620.4589494032787;kJ / kg;219.999999999775;C;nan;nan;1
0x7f198ef0aa58;turb1;out1;reheater;in1;297.02670378050925;kg / s;6.419613246959914;bar;479.84491825978785;kJ / kg;80.81811844372425;C;nan;nan;1
0x7f198ef0ac18;reheater;out1;turb2;in1;297.02670378050925;kg / s;6.3535862193580925;bar;615.5424922579527;kJ / kg;213.68124342321283;C;nan;nan;1
0x7f198ef0add8;turb2;out1;ambient;in1;297.0267037805093;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
