id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f198ef0a860;cas;out1;heat input;in1;94.50849665743547;kg / s;80.0;bar;413.4109703420602;kJ / kg;29.99999999836797;C;nan;nan;1
0x7f198ef0a898;heat input;out1;turb1;in1;94.50849665743547;kg / s;79.9583963484945;bar;618.8687251178734;kJ / kg;219.99999999979502;C;nan;nan;1
0x7f198ef0aa58;turb1;out1;reheater;in1;94.50849665743547;kg / s;2.0046457486021456;bar;397.11047695429477;kJ / kg;-1.8908000304601273;C;nan;nan;1
0x7f198ef0ac18;reheater;out1;turb2;in1;94.50849665743547;kg / s;1.9885847165484694;bar;488.21620191927116;kJ / kg;88.42013529935002;C;nan;nan;1
0x7f198ef0add8;turb2;out1;ambient;in1;94.50849665743547;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
