id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;air
0x7fb29e012fd0;fresh air;out1;compressor stage 1;in1;181.9332543833748;kg / s;1.01325;bar;414.93391062599346;kJ / kg;15.555999999999983;C;nan;nan;1
0x7fb29e012e10;compressor stage 1;out1;intercooler;in1;181.9332543833748;kg / s;5.06625;bar;614.1193881273122;kJ / kg;212.227682958887;C;nan;nan;1
0x7fb29df9a358;intercooler;out1;compressor stage 2;in1;181.9332543833748;kg / s;5.0155875;bar;438.71115322853046;kJ / kg;39.99999999997675;C;nan;nan;1
0x7fb29df9a518;compressor stage 2;out1;after cooler;in1;181.9332543833748;kg / s;66.0724927770113;bar;844.1430139528281;kJ / kg;429.82024982706344;C;nan;nan;1
0x7fb29df9a6d8;after cooler;out1;power plant outlet;in1;181.9332543833748;kg / s;65.4117678492412;bar;410.6052901803157;kJ / kg;25.00000000000216;C;nan;nan;1
0x7fb29df9a898;power plant outlet source;out1;pipe;in1;20.214806042597196;kg / s;65.4117678492412;bar;410.6052901803157;kJ / kg;25.00000000000216;C;nan;nan;1
0x7fb29df9aa58;pipe;out1;cas;in1;20.214806042597196;kg / s;65.0;bar;410.6052901803157;kJ / kg;24.926022532611398;C;nan;nan;1
