id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;177.83954548426757;kg / s;61.42857142857143;bar;416.9164557284199;kJ / kg;29.99999999999136;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;177.83954548426757;kg / s;60.24073714570967;bar;614.3066521688313;kJ / kg;215.00000000001342;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;177.83954548426757;kg / s;4.398049806518912;bar;433.89693690056794;kJ / kg;35.116426622853965;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;177.83954548426757;kg / s;4.1904618724115705;bar;617.0228168850015;kJ / kg;214.99999999999625;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;177.83954548426757;kg / s;1.0;bar;465.6287524116102;kJ / kg;65.89411817824924;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;199.13835181538528;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;101.46310713607932;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;97.67524467930596;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;101.46310713607932;kg / s;9.797168432755875;bar;29.862340768387625;kJ / kg;37.978212646775944;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;97.67524467930596;kg / s;9.797168432755875;bar;42.416705977331965;kJ / kg;45.60831475108637;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;199.13835181538528;kg / s;9.797168432755875;bar;36.02012344760684;kJ / kg;41.728217407725936;C;nan;nan;0;1
