id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;138.31964648776366;kg / s;40.0;bar;421.17594303255044;kJ / kg;29.99999999998687;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;138.31964648776366;kg / s;38.89583272179231;bar;615.2394304707716;kJ / kg;215.00000000001728;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;138.31964648776366;kg / s;3.4793542351741023;bar;443.78824683637083;kJ / kg;44.71235204154084;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;138.31964648776366;kg / s;3.318877352247585;bar;617.0722791594488;kJ / kg;214.99999999998846;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;138.31964648776366;kg / s;1.0;bar;488.4811588154333;kJ / kg;88.53724400218869;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;152.07029727582952;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;77.29065754705552;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;74.779639728774;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;77.29065754705552;kg / s;9.882342277108856;bar;28.541437307382704;kJ / kg;37.1679490619523;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;74.779639728774;kg / s;9.882342277108856;bar;55.31528382854116;kJ / kg;53.38184466570192;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;152.07029727582952;kg / s;9.882342277108856;bar;41.70731277992358;kJ / kg;45.174873077106156;C;nan;nan;0;1
