id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f70d28c2e48;cas;out1;pipe;in1;28.914478641203573;kg / s;68.57142857142857;bar;415.5468211707189;kJ / kg;29.999999999139675;C;nan;nan;1
0x7f70d28c2e80;pipe;out1;powerplant input;in1;28.914478641203573;kg / s;67.7542184007648;bar;415.5468211707189;kJ / kg;29.860058601896696;C;nan;nan;1
0x7f70d28c2c50;powerplant input source;out1;heat input;in1;260.23030777083216;kg / s;67.7542184007648;bar;415.5468211707189;kJ / kg;29.860058601896696;C;nan;nan;1
0x7f70d284a240;heat input;out1;turb1;in1;260.23030777083216;kg / s;67.40053606651051;bar;619.3156591295802;kJ / kg;220.00000000000216;C;nan;nan;1
0x7f70d284a400;turb1;out1;reheater;in1;260.23030777083216;kg / s;5.517176276332798;bar;442.1210551300601;kJ / kg;43.46637198814847;C;nan;nan;1
0x7f70d284a5c0;reheater;out1;turb2;in1;260.23030777083216;kg / s;5.462642372671826;bar;596.2269410455253;kJ / kg;194.8442119831168;C;nan;nan;1
0x7f70d284a780;turb2;out1;ambient;in1;260.2303077708322;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
