id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7ff8b02377b8;cas;out1;heat input;in1;93.04532780275508;kg / s;62.85714285714286;bar;416.64045103847076;kJ / kg;29.9999999982619;C;nan;nan;1
0x7ff8b02377f0;heat input;out1;turb1;in1;93.04532780275508;kg / s;62.79530935881715;bar;619.4888409340872;kJ / kg;219.99999999982276;C;nan;nan;1
0x7ff8b02379b0;turb1;out1;reheater;in1;93.04532780275508;kg / s;2.145362246589897;bar;408.45433941946914;kJ / kg;9.402624224609724;C;nan;nan;1
0x7ff8b0237b70;reheater;out1;turb2;in1;93.04532780275508;kg / s;2.127267176840322;bar;494.5269680362438;kJ / kg;94.67913792195606;C;nan;nan;1
0x7ff8b0237d30;turb2;out1;ambient;in1;93.04532780275508;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
