id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f70d28c2e48;cas;out1;pipe;in1;10.65270265728556;kg / s;80.0;bar;413.4109703420602;kJ / kg;29.99999999836797;C;nan;nan;1
0x7f70d28c2e80;pipe;out1;powerplant input;in1;10.65270265728556;kg / s;79.90332537942339;bar;413.4109703420602;kJ / kg;29.984253062772098;C;nan;nan;1
0x7f70d28c2c50;powerplant input source;out1;heat input;in1;95.87432391557006;kg / s;79.90332537942339;bar;413.4109703420602;kJ / kg;29.984253062772098;C;nan;nan;1
0x7f70d284a240;heat input;out1;turb1;in1;95.87432391557006;kg / s;79.86259289353536;bar;618.871996830254;kJ / kg;220.00000000001256;C;nan;nan;1
0x7f70d284a400;turb1;out1;reheater;in1;95.87432391557006;kg / s;2.0229694526015307;bar;397.4421239835609;kJ / kg;-1.5566407455593776;C;nan;nan;1
0x7f70d284a5c0;reheater;out1;turb2;in1;95.87432391557006;kg / s;2.006695862850773;bar;489.0587509052149;kJ / kg;89.25599963217485;C;nan;nan;1
0x7f70d284a780;turb2;out1;ambient;in1;95.87432391557006;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
