id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;276.6392929755236;kg / s;44.285714285714285;bar;420.3065875352173;kJ / kg;29.99999999999551;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;276.63929297552363;kg / s;40.11130576370551;bar;615.1831398880591;kJ / kg;215.00000000000244;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;276.6392929755236;kg / s;6.75669427066586;bar;478.37610528052136;kJ / kg;79.4229552964756;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;276.63929297552363;kg / s;6.410923506814756;bar;616.8979063186972;kJ / kg;215.00000000000006;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;276.6392929755237;kg / s;1.0;bar;429.4709728511108;kJ / kg;30.000000000001194;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;302.42773692876693;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;157.1920480789036;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;145.2356888498633;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;157.1920480789036;kg / s;9.512774457933695;bar;32.87863722082704;kJ / kg;39.830042634961785;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;145.2356888498633;kg / s;9.512774457933695;bar;111.98723134905137;kJ / kg;86.86150323515682;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;302.42773692876693;kg / s;9.512774457933695;bar;70.86917102184243;kJ / kg;62.69534195824559;C;nan;nan;0;1
