id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f70d28c2e48;cas;out1;pipe;in1;33.479922637183165;kg / s;80.0;bar;413.41097034315766;kJ / kg;29.99999999944947;C;nan;nan;1
0x7f70d28c2e80;pipe;out1;powerplant input;in1;33.47992263718316;kg / s;79.07240224132997;bar;413.41097034315766;kJ / kg;29.848562963964582;C;nan;nan;1
0x7f70d28c2c50;powerplant input source;out1;heat input;in1;301.3193037346485;kg / s;79.07240224132997;bar;413.41097034315766;kJ / kg;29.848562963964582;C;nan;nan;1
0x7f70d284a240;heat input;out1;turb1;in1;301.3193037346485;kg / s;78.66485931292304;bar;618.9130769010756;kJ / kg;219.99999999999596;C;nan;nan;1
0x7f70d284a400;turb1;out1;reheater;in1;301.3193037346485;kg / s;6.495526845070928;bar;441.26830397456644;kJ / kg;42.818371661463175;C;nan;nan;1
0x7f70d284a5c0;reheater;out1;turb2;in1;301.3193037346485;kg / s;6.4318447319724;bar;617.1381692766219;kJ / kg;215.23430948792554;C;nan;nan;1
0x7f70d284a780;turb2;out1;ambient;in1;301.31930373464854;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
