id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7ff8b02377b8;cas;out1;heat input;in1;172.7984659194023;kg / s;68.57142857142857;bar;415.5468211702374;kJ / kg;29.99999999870704;C;nan;nan;1
0x7ff8b02377f0;heat input;out1;turb1;in1;172.7984659194023;kg / s;68.3754273273975;bar;619.2796440633107;kJ / kg;219.99999999981895;C;nan;nan;1
0x7ff8b02379b0;turb1;out1;reheater;in1;172.7984659194023;kg / s;3.936136033118216;bar;427.45983555229816;kJ / kg;28.65235667923713;C;nan;nan;1
0x7ff8b0237b70;reheater;out1;turb2;in1;172.7984659194023;kg / s;3.8978580230921613;bar;556.5051730307584;kJ / kg;155.90150380881187;C;nan;nan;1
0x7ff8b0237d30;turb2;out1;ambient;in1;172.7984659194023;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
