id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f70d28c2e48;cas;out1;pipe;in1;15.218146653265089;kg / s;40.0;bar;421.1759430309244;kJ / kg;29.999999998470628;C;nan;nan;1
0x7f70d28c2e80;pipe;out1;powerplant input;in1;15.218146653265089;kg / s;39.607905756373455;bar;421.1759430309244;kJ / kg;29.925031213545594;C;nan;nan;1
0x7f70d28c2c50;powerplant input source;out1;heat input;in1;136.9633198793858;kg / s;39.607905756373455;bar;421.1759430309244;kJ / kg;29.925031213545594;C;nan;nan;1
0x7f70d284a240;heat input;out1;turb1;in1;136.9633198793858;kg / s;39.44147196123373;bar;620.4472482570893;kJ / kg;220.0000000000104;C;nan;nan;1
0x7f70d284a400;turb1;out1;reheater;in1;136.9633198793858;kg / s;2.8036443783274425;bar;438.9729680665375;kJ / kg;39.80924230516251;C;nan;nan;1
0x7f70d284a5c0;reheater;out1;turb2;in1;136.9633198793858;kg / s;2.776906151337136;bar;520.5595623126346;kJ / kg;120.45315545330038;C;nan;nan;1
0x7f70d284a780;turb2;out1;ambient;in1;136.9633198793858;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
