label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;Sirr;Sirr_set;Sirr_var;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param;cone;cone_set;cone_method;cone_param
turb1;turbine;['0x7f19a02305f8'];[None];[-50162149.61329231];['0x7f198eea2358'];auto;['pr', 'eta_s'];['eta_s_char'];-50162149.61329231;False;False;0.6999999999999984;True;False;0.1136316765752374;False;False;72305.36731213772;False;False;0x7f198eea2da0;False;GENERIC;m;0x7f198eea2f98;False;default;nan
turb2;turbine;['0x7f19a02305f8'];[None];[-59837850.38670768];['0x7f198eea2358'];auto;['pr', 'eta_s'];['eta_s_char', 'cone'];-59837850.38670768;False;False;0.924999999999993;True;False;0.14965076660519638;False;False;16428.452468446558;False;False;0x7f198eea2e80;False;GENERIC;m;0x7f198eea2eb8;False;default;nan
