label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;kA_char1;kA_char1_set;kA_char1_method;kA_char1_param;kA_char2;kA_char2_set;kA_char2_method;kA_char2_param;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;SQ1;SQ1_set;SQ1_var;SQ2;SQ2_set;SQ2_var;Sirr;Sirr_set;Sirr_var
tes discharger;heat_exchanger;[];[];[];[];auto;['pr1', 'pr2', 'ttd_l'];['zeta1', 'zeta2', 'kA'];-2859010.143012679;False;False;231845.7713420287;False;False;12.3315173119761;False;False;0x7fa6418c95f8;False;HE_HOT;m;0x7fa6418c9438;False;HE_COLD;m;15.000000000200771;False;False;10.000000000010175;True;False;0.95;True;False;0.95;True;False;729004.0633946975;False;False;89271.7864308698;False;False;-7084.268947386467;False;False;7590.1092560740835;False;False;505.8403086876169;False;False
reheater;heat_exchanger;[];[];[];[];auto;['pr2', 'ttd_l'];['zeta2', 'kA'];-2318946.4364099395;False;False;188050.37350720906;False;False;12.331517311881546;False;False;0x7fa6418c97b8;False;HE_HOT;m;0x7fa6418c92b0;False;HE_COLD;m;14.999999999999943;False;False;9.999999999998977;True;False;0.95;False;False;0.9500000000000001;True;False;814054.7272601542;False;False;1100.9790351343054;False;False;-5532.062679090276;False;False;5940.365606952781;False;False;408.3029278625045;False;False
