label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;Tamb;Tamb_set;Tamb_var;Tamb_ref;Tamb_ref_set;Tamb_ref_var;kA_char;kA_char_set;kA_char_method;kA_char_param;SQ1;SQ1_set;SQ1_var;SQ2;SQ2_set;SQ2_var;Sirr;Sirr_set;Sirr_var
heat input;heat_exchanger_simple;[];[];[];[];auto;['pr'];['zeta'];62901687.66689784;False;False;0.99;True;False;39.59003313429832;False;False;1;False;False;1;False;False;1;False;False;nan;False;False;1;False;False;1;False;False;0x7f198eea2f60;False;HE_HOT;m;162243.39818038937;False;False;nan;False;False;nan;False;False
reheater;heat_exchanger_simple;[];[];[];[];auto;['pr'];['zeta'];50913403.129834644;False;False;0.99;True;False;0.48760023125498914;False;False;1;False;False;1;False;False;1;False;False;nan;False;False;1;False;False;1;False;False;0x7f198ee50208;False;HE_HOT;m;125721.3754100044;False;False;nan;False;False;nan;False;False
