input,level,output
12799,29788.8,0
12799,40028,0
12799,50267.2,0
12799,60506.4,0
12799,70745.6,0
12799,80984.8,0
12799,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,91224,0
0,81466.249,7806.2009
0,65467.499,12799
0,49468.749,12799
0,33469.999,12799
0,17471.249,12799
0,1472.4989,12799
0,0,1177.9991
0,0,0
9358.8319,7487.0656,0
12799,17726.266,0
12799,27965.466,0
12799,38204.666,0
12799,48443.866,0
12799,58683.066,0
12799,68922.266,0
5586.2398,73391.257,0
0,66842.292,5239.1722
0,54434.004,9926.6309
0,44959.423,7579.6647
0,37269.672,6151.8005
0,31905.895,4291.0221
0,30309.43,1277.1719
0,28048.555,1808.6996
0,22503.23,4436.2602
0,16684.183,4655.2379
0,15986.234,558.35872
0,10172.776,4650.7663
0,3919.0033,5003.0184
0,0,3135.2026
0,0,0
0,0,0
0,0,0
8711.956,6969.5648,0
12799,17208.765,0
12799,27447.965,0
12799,37687.165,0
12799,47926.365,0
12799,58165.565,0
12799,68404.765,0
3993.0495,71599.204,0
0,64564.468,5627.7892
0,54296.363,8214.4838
0,47952.785,5074.8628
0,46142.976,1447.8471
2250.5001,47943.376,0
3954.63,51107.08,0
1947.1411,52664.793,0
0,49749.112,2332.5445
0,40823.811,7140.2412
0,28149.288,10139.618
0,12150.538,12799
0,2418.4893,7785.6386
0,0,1934.7914
0,0,0
0,0,0
3692.0299,2953.624,0
12799,13192.824,0
12799,23432.024,0
12799,33671.224,0
12799,43910.424,0
12799,54149.624,0
12799,64388.824,0
12799,74628.024,0
5497.7933,79026.259,0
0,74277.337,3799.1376
0,66167.738,6487.6789
0,63630.747,2029.5926
0,63630.747,0
4794.6689,67466.482,0
12799,77705.682,0
12000.627,87306.184,0
4897.2697,91224,0
0,87136.112,3270.3106
0,76080.787,8844.2594
0,60082.037,12799
0,44083.287,12799
0,29110.531,11978.205
0,20130.001,7184.4242
0,15027.983,4081.6138
0,13312.584,1372.3195
0,13312.584,0
0,13312.584,0
3812.9387,16362.935,0
6412.9173,21493.269,0
7697.8474,27651.547,0
7240.9202,33444.283,0
3083.6731,35911.221,0
0,35911.221,0
0,26429.051,7585.7365
0,16412.841,8012.9675
0,16412.841,0
0,16412.841,0
1990.6126,18005.332,0
5602.5825,22487.398,0
4817.6332,26341.504,0
0,26341.504,0
0,26341.504,0
0,17165.82,7340.5471
0,1991.1363,12139.747
0,0,1592.909
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3759.0127,3007.2102,0
9245.1435,10403.325,0
4717.8601,14177.613,0
0,14177.613,0
0,14177.613,0
0,5283.6042,7115.2071
0,0,4226.8834
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4576.6027,3661.2822,0
2863.2254,5951.8625,0
0,5951.8625,0
0,5442.8762,407.18906
0,0,4354.301
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
11458.527,9166.8216,0
12799,19406.022,0
12799,29645.222,0
12799,39884.422,0
12799,50123.622,0
12799,60362.822,0
12799,70602.022,0
10151.031,78722.847,0
0,78722.847,0
0,78722.847,0
0,78722.847,0
0,78722.847,0
6841.7084,84196.214,0
8784.7331,91224,0
0,91224,0
0,91224,0
0,91224,0
0,80685.399,8430.8809
0,64686.649,12799
0,48687.899,12799
0,32689.149,12799
0,16690.399,12799
0,3135.2245,10844.139
0,0,2508.1796
0,0,0
0,0,0
0,0,0
11260.772,9008.6175,0
12799,19247.817,0
12799,29487.017,0
11408.203,38613.58,0
0,38613.58,0
0,38352.839,208.59303
0,35327.637,2420.1611
0,35327.637,0
1036.6464,36156.954,0
7191.5474,41910.192,0
8745.1218,48906.29,0
10232.958,57092.656,0
6407.0309,62218.281,0
506.95393,62623.844,0
0,58207.645,3532.959
0,49947.065,6608.4642
0,38660.192,9029.4983
0,30042.296,6894.317
0,24959.343,4066.3626
0,24810.531,119.04921
1637.8276,26120.793,0
7602.3867,32202.702,0
12203.068,41965.157,0
12799,52204.357,0
12799,62443.557,0
12799,72682.757,0
12799,82921.957,0
10377.553,91224,0
0,89251.606,1577.9155
0,73252.856,12799
0,57254.106,12799
0,56060.412,954.95514
11585.654,65328.935,0
12799,75568.135,0
12799,85807.335,0
6770.8317,91224,0
0,91224,0
0,75225.25,12799
0,59226.5,12799
0,43227.75,12799
0,27229,12799
0,11230.25,12799
0,0,8984.2
0,0,0
0,0,0
0,0,0
1253.6697,1002.9358,0
5856.397,5688.0533,0
8363.0888,12378.524,0
8651.2719,19299.542,0
5663.4012,23830.263,0
3517.9652,26644.635,0
0,20674.862,4775.8188
0,4676.1116,12799
0,0,3740.8893
5396.7346,4317.3877,0
12799,14556.588,0
12799,24795.788,0
12799,35034.988,0
12799,45274.188,0
12799,55513.388,0
6068.7438,60368.383,0
0,51088.74,7423.7144
0,35089.99,12799
0,19091.24,12799
0,3092.4898,12799
0,0,2473.9918
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4460.575,3568.46,0
7191.4624,9321.6299,0
6096.7798,14199.054,0
6920.99,19735.846,0
11553.337,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
0,28978.515,0
