id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;INCOMP::S800;air
0x7f9a74b68048;fresh air;out1;compressor train_inlet;in3;256.87934347727537;kg / s;1.0;bar;419.40807045722073;kJ / kg;20.0;C;nan;nan;0;1
0x7f9a74b688d0;compressor train_outlet;out3;after cooler;in1;256.87934347727537;kg / s;62.049062049062044;bar;427.983107789453;kJ / kg;40.19251575954377;C;nan;nan;0;1
0x7f9a74b68a58;after cooler;out1;cas;in1;256.87934347727537;kg / s;61.42857142857143;bar;411.4036507645979;kJ / kg;24.999999999995623;C;nan;nan;0;1
0x7f9a8419f9b0;cold reservoir;out1;compressor train_inlet;in1;429.46977412049483;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4dcc0;compressor train_outlet;out1;hot reservoir;in1;429.46977412049483;kg / s;8.0;bar;367.161800126901;kJ / kg;225.62015951508158;C;nan;nan;1;0
0x7f9a74b4d160;source;out1;compressor train_inlet;in2;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4d828;compressor train_outlet;out2;sink;in1;0.0;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b98748;compressor train_inlet;out1;compressor train_splitter_0;in1;429.46977412049483;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b424a8;compressor train_merge_0;out1;compressor train_outlet;in1;429.46977412049483;kg / s;8.0;bar;367.161800126901;kJ / kg;225.62015951508158;C;nan;nan;1;0
0x7f9a74b42630;compressor train_inlet;out3;compressor train_compressor_0;in1;256.87934347727537;kg / s;1.0;bar;419.40807045722073;kJ / kg;20.0;C;nan;nan;0;1
0x7f9a74b98e80;compressor train_compressor_0;out1;compressor train_heat exchanger_0;in1;256.87934347727526;kg / s;5.0;bar;621.643762413622;kJ / kg;219.5304896112733;C;nan;nan;0;1
0x7f9a74baf710;compressor train_splitter_0;out1;compressor train_heat exchanger_0;in2;156.59137203112692;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74baf898;compressor train_heat exchanger_0;out2;compressor train_vessel_0;in1;156.59137203112692;kg / s;9.956674363246986;bar;317.68242626074976;kJ / kg;200.0;C;nan;nan;1;0
0x7f9a74baf5c0;compressor train_vessel_0;out1;compressor train_merge_0;in2;156.59137203112692;kg / s;8.0;bar;317.68242626074976;kJ / kg;200.05541754128063;C;nan;nan;1;0
0x7f9a74ba2940;compressor train_splitter_0;out2;compressor train_splitter_1;in1;272.8784020893679;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74ba23c8;compressor train_merge_1;out1;compressor train_merge_0;in1;272.8784020893679;kg / s;8.0;bar;395.5555571322804;kJ / kg;240.04024630585582;C;nan;nan;1;0
0x7f9a74b42860;compressor train_heat exchanger_0;out1;compressor train_compressor_1;in1;256.87934347727537;kg / s;4.995691421372073;bar;438.2629912776357;kJ / kg;39.55338732470574;C;nan;nan;0;1
0x7f9a74b429e8;compressor train_compressor_1;out1;compressor train_heat exchanger_1;in1;256.87934347727526;kg / s;62.10824341179961;bar;830.2683616605335;kJ / kg;417.1396052303086;C;nan;nan;0;1
0x7f9a74b42b70;compressor train_splitter_1;out1;compressor train_heat exchanger_1;in2;272.8784020893678;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b42cf8;compressor train_heat exchanger_1;out2;compressor train_vessel_1;in1;272.8784020893679;kg / s;9.9598244153513;bar;395.5555571322804;kJ / kg;240.0000000000001;C;nan;nan;1;0
0x7f9a74b42e80;compressor train_vessel_1;out1;compressor train_merge_1;in2;272.8784020893679;kg / s;8.0;bar;395.5555571322804;kJ / kg;240.04024630585582;C;nan;nan;1;0
0x7f9a74b42828;compressor train_splitter_1;out2;compressor train_outlet;in2;0.0;kg / s;10.0;bar;16.856579442031855;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4d1d0;compressor train_inlet;out2;compressor train_merge_1;in1;0.0;kg / s;8.0;bar;16.704114858722548;kJ / kg;30.0;C;nan;nan;1;0
0x7f9a74b4d358;compressor train_heat exchanger_1;out1;compressor train_outlet;in3;256.87934347727537;kg / s;62.049062049062044;bar;427.983107789453;kJ / kg;40.19251575954377;C;nan;nan;0;1
