id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;air
0x7f2d020fab00;fresh air;out1;compressor stage 1;in1;143.5483320951234;kg / s;1.01325;bar;414.93391062599346;kJ / kg;15.555999999999983;C;nan;nan;1
0x7f2d020fab38;compressor stage 1;out1;intercooler;in1;143.5483320951234;kg / s;5.06625;bar;613.772000067473;kJ / kg;211.89014619828043;C;nan;nan;1
0x7f2d020facf8;intercooler;out1;compressor stage 2;in1;143.5483320951234;kg / s;5.034918282510538;bar;438.7071925592457;kJ / kg;39.99999999996447;C;nan;nan;1
0x7f2d020faeb8;compressor stage 2;out1;after cooler;in1;143.5483320951234;kg / s;57.59254188496215;bar;812.5189460404723;kJ / kg;400.83639321152873;C;nan;nan;1
0x7f2d020fa860;after cooler;out1;cas;in1;143.5483320951234;kg / s;57.14285714285714;bar;412.27170300291726;kJ / kg;24.99999999862507;C;nan;nan;1
