input,level,output
0,"179,93646",0
0,"146,85207","26,46751"
0,"55,392572","73,167597"
0,"6,3635302","39,223234"
0,0,"5,0908242"
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
"72,14318","57,714544",0
"87,191948","127,4681",0
"85,034871","195,496",0
"127,99","297,888",0
"127,99","400,28",0
"127,99","502,672",0
"127,99","605,064",0
"127,99","707,456",0
"127,99","809,848",0
"127,99","912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"912,24",0
0,"814,66249","78,062009"
0,"654,67499","127,99"
0,"494,68749","127,99"
0,"334,69999","127,99"
0,"174,71249","127,99"
0,"14,724989","127,99"
0,0,"11,779991"
0,0,0
"93,588319","74,870656",0
"127,99","177,26266",0
"127,99","279,65466",0
"127,99","382,04666",0
"127,99","484,43866",0
"127,99","586,83066",0
"127,99","689,22266",0
"55,862398","733,91257",0
0,"668,42292","52,391722"
0,"544,34004","99,266309"
0,"449,59423","75,796647"
0,"372,69672","61,518005"
0,"319,05895","42,910221"
0,"303,0943","12,771719"
0,"280,48555","18,086996"
0,"225,0323","44,362602"
0,"166,84183","46,552379"
0,"159,86234","5,5835872"
0,"101,72776","46,507663"
0,"39,190033","50,030184"
0,0,"31,352026"
0,0,0
0,0,0
0,0,0
"87,11956","69,695648",0
"127,99","172,08765",0
"127,99","274,47965",0
"127,99","376,87165",0
"127,99","479,26365",0
"127,99","581,65565",0
"127,99","684,04765",0
"39,930495","715,99204",0
0,"645,64468","56,277892"
0,"542,96363","82,144838"
0,"479,52785","50,748628"
0,"461,42976","14,478471"
"22,505001","479,43376",0
"39,5463","511,0708",0
"19,471411","526,64793",0
0,"497,49112","23,325445"
0,"408,23811","71,402412"
0,"281,49288","101,39618"
0,"121,50538","127,99"
0,"24,184893","77,856386"
0,0,"19,347914"
0,0,0
0,0,0
"36,920299","29,53624",0
"127,99","131,92824",0
"127,99","234,32024",0
"127,99","336,71224",0
"127,99","439,10424",0
"127,99","541,49624",0
"127,99","643,88824",0
"127,99","746,28024",0
"54,977933","790,26259",0
0,"742,77337","37,991376"
0,"661,67738","64,876789"
0,"636,30747","20,295926"
0,"636,30747",0
"47,946689","674,66482",0
"127,99","777,05682",0
"120,00627","873,06184",0
"48,972697","912,24",0
0,"871,36112","32,703106"
0,"760,80787","88,442594"
0,"600,82037","127,99"
0,"440,83287","127,99"
0,"291,10531","119,78205"
0,"201,30001","71,844242"
0,"150,27983","40,816138"
0,"133,12584","13,723195"
0,"133,12584",0
0,"133,12584",0
"38,129387","163,62935",0
"64,129173","214,93269",0
"76,978474","276,51547",0
"72,409202","334,44283",0
"30,836731","359,11221",0
0,"359,11221",0
0,"264,29051","75,857365"
0,"164,12841","80,129675"
0,"164,12841",0
0,"164,12841",0
"19,906126","180,05332",0
