id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;138.31964648776366;kg / s;57.14285714285714;bar;417.75059071737047;kJ / kg;29.999999999989086;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;138.31964648776366;kg / s;56.37400695869341;bar;614.4670432765712;kJ / kg;215.00000000001472;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;138.31964648776366;kg / s;3.476220751584827;bar;427.26341766436815;kJ / kg;28.356674671665587;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;138.31964648776366;kg / s;3.3188773522475876;bar;617.0722791594511;kJ / kg;214.99999999998948;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;138.31964648776366;kg / s;1.0;bar;488.4811588154352;kJ / kg;88.53724400219085;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;154.5641124007373;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;78.39605167254133;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;76.16806072819595;kg / s;10.0;bar;375.83817187449506;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;78.39605167254133;kg / s;9.8789458386081;bar;28.757552432458148;kJ / kg;37.3000760140568;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;76.16806072819595;kg / s;9.8789458386081;bar;31.149146432022576;kJ / kg;38.75928360932829;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;154.56411240073732;kg / s;9.8789458386081;bar;29.936112411011223;kJ / kg;38.01943899353745;C;nan;nan;0;1
