id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;158.07959598601562;kg / s;52.85714285714286;bar;418.59376741051057;kJ / kg;29.999999999988972;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;158.07959598601562;kg / s;51.76770099851867;bar;614.6629913032251;kJ / kg;215.0000000000113;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;158.07959598601562;kg / s;3.936304835450207;bar;435.9905665294722;kJ / kg;37.09019872829708;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;158.07959598601562;kg / s;3.752675371628527;bar;617.0476305938333;kJ / kg;214.9999999999917;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;158.07959598601562;kg / s;1.0;bar;475.74865552643456;kJ / kg;75.92620902221819;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;175.83031334836022;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;89.41569879026468;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;86.41461455809554;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;89.41569879026468;kg / s;9.842503613627581;bar;29.203921764193808;kJ / kg;37.57428006500601;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;86.41461455809554;kg / s;9.842503613627581;bar;44.62767369578117;kJ / kg;46.94379624099463;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;175.83031334836022;kg / s;9.842503613627581;bar;36.78417088521512;kJ / kg;42.190414105652565;C;nan;nan;0;1
