id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;256.8793434772748;kg / s;70.0;bar;415.2760473051067;kJ / kg;29.99999999999335;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;256.87934347727486;kg / s;67.80389680725165;bar;614.0035485452454;kJ / kg;215.0000000000046;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;256.8793434772748;kg / s;6.272150535069243;bar;443.9676544825098;kJ / kg;45.43533513847876;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;256.87934347727486;kg / s;5.96413722095778;bar;616.9229136761103;kJ / kg;214.99999999999903;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;256.8793434772749;kg / s;1.0;bar;435.3227382571667;kJ / kg;35.81345704807984;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;289.68388431425484;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;148.72670356715423;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;140.95718074710064;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;148.72670356715423;kg / s;9.563871918246372;bar;32.597927687975044;kJ / kg;39.65671741473636;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;140.95718074710064;kg / s;9.563871918246372;bar;60.64576239869819;kJ / kg;56.592248356962386;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;289.68388431425484;kg / s;9.563871918246372;bar;46.24571384716408;kJ / kg;47.93417135247148;C;nan;nan;0;1
