id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;256.87934347727196;kg / s;48.57142857142857;bar;419.4458173365247;kJ / kg;29.999999999992554;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;256.879343477272;kg / s;45.34926945991733;bar;614.9450332622683;kJ / kg;215.00000000000819;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;256.87934347727196;kg / s;6.280267166692765;bar;466.41144311618103;kJ / kg;67.56047452039019;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;256.879343477272;kg / s;5.964137220957729;bar;616.9229136761138;kJ / kg;215.00000000000352;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;256.8793434772721;kg / s;1.0;bar;435.32273825716925;kJ / kg;35.81345704808234;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;283.05383527303474;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;146.16062510292159;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;136.89321017011318;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;146.16062510292159;kg / s;9.57883115049081;bar;32.24556475501015;kJ / kg;39.44137623247059;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;136.89321017011318;kg / s;9.57883115049081;bar;93.40423891910164;kJ / kg;76.00909172226818;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;283.05383527303474;kg / s;9.57883115049081;bar;61.82370923764749;kJ / kg;57.296448986492976;C;nan;nan;0;1
