id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;237.1193939790234;kg / s;70.0;bar;415.2760473051071;kJ / kg;29.999999999993634;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;237.1193939790234;kg / s;68.13434604441838;bar;613.9906216537786;kJ / kg;215.00000000000819;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;237.1193939790234;kg / s;5.80069884381965;bar;440.03131456130234;kJ / kg;41.460804031886425;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;237.1193939790234;kg / s;5.518389079199599;bar;616.9479261637239;kJ / kg;215.0000000000033;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;237.1193939790234;kg / s;1.0;bar;441.7452345513621;kJ / kg;42.192216443695884;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;267.38010141681497;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;137.00593056957854;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;130.3741708472364;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;137.00593056957854;kg / s;9.62997074368925;bar;31.918173313358857;kJ / kg;39.239532160623526;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;130.3741708472364;kg / s;9.62997074368925;bar;54.069224425977154;kJ / kg;52.64460429185414;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;267.38010141681497;kg / s;9.62997074368925;bar;42.71899546466937;kJ / kg;45.79893666352109;C;nan;nan;0;1
