label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;Sirr;Sirr_set;Sirr_var;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param;cone;cone_set;cone_method;cone_param
turb1;turbine;['hub'];[None];[-49957828.5639256];['0x7f9a8dd05668'];auto;[];['eta_s_char'];False;-49957828.5639256;False;False;0.6999999999999978;True;False;0.11620813362628692;False;False;71645.48288445018;False;False;0x7f9a8dd05f98;False;GENERIC;m;0x7f9a8dcc40b8;False;default;nan
turb2;turbine;['hub'];[None];[-60042171.43607434];['0x7f9a8dd05668'];auto;[];[];False;-60042171.43607434;False;False;0.925;True;False;0.14965076660519613;False;False;16484.548712313044;False;False;0x7f9a8dcc4160;False;GENERIC;m;0x7f9a8dcc4048;False;default;nan
