label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;Tamb;Tamb_set;Tamb_var;kA_char;kA_char_set;kA_char_method;kA_char_param;SQ1;SQ1_set;SQ1_var;SQ2;SQ2_set;SQ2_var;Sirr;Sirr_set;Sirr_var;hydro_group;kA_group
heat input;heat_exchanger_simple;[];[];[];[];auto;['pr'];['zeta'];False;63132540.72855513;False;False;0.99;True;False;37.621132289891264;False;False;1;False;False;1;False;False;1;False;False;1;False;False;1;False;False;0x7fa06ad63400;False;HE_HOT;m;162889.27960425202;False;False;1;False;False;1;False;False;default;default
reheater;heat_exchanger_simple;[];[];[];[];auto;['pr'];['zeta'];False;50695576.995949134;False;False;0.99;True;False;0.4835591511477821;False;False;1;False;False;1;False;False;1;False;False;1;False;False;1;False;False;0x7fa06ad63588;False;HE_HOT;m;124975.55337163075;False;False;1;False;False;1;False;False;default;default
