id;x;y
0x7f70d2872a90;[0, 1, 2, 3];[1, 1, 1, 1]
0x7f70d2872908;[0, 1, 2, 3];[1, 1, 1, 1]
0x7f70d2872dd8;[0, 1, 2, 3];[1, 1, 1, 1]
0x7f70d2872ba8;[0.0, 0.5, 0.8, 0.95, 1.0, 1.05, 1.2];[0.975, 0.985, 0.994, 0.999, 1.0, 0.999, 0.99]
0x7f70d2872c88;[0.0, 0.5, 0.8, 0.95, 1.0, 1.05, 1.2];[0.975, 0.985, 0.994, 0.999, 1.0, 0.999, 0.99]
0x7f70d2872cf8;[0, 1, 2, 3];[1, 1, 1, 1]
0x7f70d2872860;[0, 1, 2, 3];[1, 1, 1, 1]
0x7f70d284af60;[0, 1, 2, 3];[1, 1, 1, 1]
