id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;276.6392929755253;kg / s;57.14285714285714;bar;417.7505907173801;kJ / kg;29.99999999999784;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;276.63929297552534;kg / s;53.98396895845403;bar;614.5680461836582;kJ / kg;215.00000000000136;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;276.6392929755253;kg / s;6.749588404051063;bar;460.11066278371453;kJ / kg;61.43169304886692;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;276.63929297552534;kg / s;6.410923506814794;bar;616.8979063186971;kJ / kg;215.00000000000006;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;276.6392929755254;kg / s;1.0;bar;429.47097285111056;kJ / kg;30.000000000000796;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;307.967742920555;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;158.8631270398477;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;149.10461588070729;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;158.8631270398477;kg / s;9.50233004525052;bar;33.10639553361973;kJ / kg;39.969218488145316;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;149.10461588070729;kg / s;9.50233004525052;bar;84.94501646875939;kJ / kg;71.03445673042324;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;307.967742920555;kg / s;9.50233004525052;bar;58.20440608829493;kJ / kg;55.13252131023677;C;nan;nan;0;1
