id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7ff8b02377b8;cas;out1;heat input;in1;212.6750349777259;kg / s;74.28571428571428;bar;414.47016590123906;kJ / kg;29.99999999895499;C;nan;nan;1
0x7ff8b02377f0;heat input;out1;turb1;in1;212.6750349777259;kg / s;74.01109064586468;bar;619.0758230991266;kJ / kg;219.99999999981588;C;nan;nan;1
0x7ff8b02379b0;turb1;out1;reheater;in1;212.6750349777259;kg / s;4.924894500789387;bar;432.7395628016188;kJ / kg;34.083731134495565;C;nan;nan;1
0x7ff8b0237b70;reheater;out1;turb2;in1;212.6750349777259;kg / s;4.876579822818057;bar;582.3525856219876;kJ / kg;181.27211021650947;C;nan;nan;1
0x7ff8b0237d30;turb2;out1;ambient;in1;212.6750349777259;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
