label;cp;busses;bus_factors;mode;design;offdesign;num_in;num_in_set;num_in_var
compressor train_merge_0;merge;[];[];auto;[];[];2;True;False
compressor train_merge_1;merge;[];[];auto;[];[];2;True;False
