id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;air
0x7f2d020fab00;fresh air;out1;compressor stage 1;in1;89.71770755945214;kg / s;1.01325;bar;414.93391062599346;kJ / kg;15.555999999999983;C;nan;nan;1
0x7f2d020fab38;compressor stage 1;out1;intercooler;in1;89.71770755945214;kg / s;5.06625;bar;626.1313503548513;kJ / kg;223.88713869279212;C;nan;nan;1
0x7f2d020facf8;intercooler;out1;compressor stage 2;in1;89.71770755945214;kg / s;5.053845026667486;bar;438.703314845118;kJ / kg;39.99999999996379;C;nan;nan;1
0x7f2d020faeb8;compressor stage 2;out1;after cooler;in1;89.71770755945214;kg / s;63.02420527882378;bar;855.6991647474306;kJ / kg;440.49265873047307;C;nan;nan;1
0x7f2d020fa860;after cooler;out1;cas;in1;89.71770755945214;kg / s;62.85714285714286;bar;411.1163766787075;kJ / kg;24.99999999808847;C;nan;nan;1
