id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7f70d28c2e48;cas;out1;pipe;in1;24.349034645224144;kg / s;68.57142857142857;bar;415.5468211704795;kJ / kg;29.999999998924864;C;nan;nan;1
0x7f70d28c2e80;pipe;out1;powerplant input;in1;24.349034645224144;kg / s;67.99150165467049;bar;415.5468211704795;kJ / kg;29.900754574475002;C;nan;nan;1
0x7f70d28c2c50;powerplant input source;out1;heat input;in1;219.1413118070173;kg / s;67.99150165467049;bar;415.5468211704795;kJ / kg;29.900754574475002;C;nan;nan;1
0x7f70d284a240;heat input;out1;turb1;in1;219.1413118070173;kg / s;67.74177381333816;bar;619.303027349686;kJ / kg;220.0000000000037;C;nan;nan;1
0x7f70d284a400;turb1;out1;reheater;in1;219.1413118070173;kg / s;4.569389655917467;bar;433.9246131340621;kJ / kg;35.17971192078568;C;nan;nan;1
0x7f70d284a5c0;reheater;out1;turb2;in1;219.1413118070173;kg / s;4.524531734121113;bar;573.4939308876424;kJ / kg;172.58911650681313;C;nan;nan;1
0x7f70d284a780;turb2;out1;ambient;in1;219.1413118070173;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
