id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air
0x7ff8b02377b8;cas;out1;heat input;in1;132.9218968610787;kg / s;51.42857142857143;bar;418.8768060327881;kJ / kg;29.999999998468866;C;nan;nan;1
0x7ff8b02377f0;heat input;out1;turb1;in1;132.9218968610787;kg / s;51.274564639541396;bar;619.9445702066953;kJ / kg;219.99999999981907;C;nan;nan;1
0x7ff8b02379b0;turb1;out1;reheater;in1;132.9218968610787;kg / s;3.0010944518652947;bar;429.663972903498;kJ / kg;30.629523309781064;C;nan;nan;1
0x7ff8b0237b70;reheater;out1;turb2;in1;132.9218968610787;kg / s;2.972481679879083;bar;527.5040535789293;kJ / kg;127.31516459222149;C;nan;nan;1
0x7ff8b0237d30;turb2;out1;ambient;in1;132.9218968610787;kg / s;1.0;bar;429.47097285110954;kJ / kg;29.999999999999886;C;nan;nan;1
