label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;Q;Q_set;Q_var;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;D;D_set;D_var;L;L_set;L_var;ks;ks_set;ks_var;kA;kA_set;kA_var;Tamb;Tamb_set;Tamb_var;Tamb_ref;Tamb_ref_set;Tamb_ref_var;kA_char;kA_char_set;kA_char_method;kA_char_param;SQ1;SQ1_set;SQ1_var;SQ2;SQ2_set;SQ2_var;Sirr;Sirr_set;Sirr_var
intercooler;heat_exchanger_simple;[];[];[];[];auto;['pr'];['zeta'];-31912591.02077881;False;False;0.99;True;False;0.8309348855511325;False;False;1;False;False;1;False;False;1;False;False;nan;False;False;1;False;False;1;False;False;0x7fb29dfbbe48;False;HE_HOT;m;-80630.63643085539;False;False;nan;False;False;nan;False;False
after cooler;heat_exchanger_simple;[];[];[];[];auto;['pr'];['zeta'];-78874928.98389377;False;False;0.9900000000000001;True;False;111.30663203383757;False;False;1;False;False;1;False;False;1;False;False;nan;False;False;1;False;False;1;False;False;0x7fb29dfbbfd0;False;HE_HOT;m;-166699.94220009484;False;False;nan;False;False;nan;False;False
