label;cp;busses;bus_param;bus_P_ref;bus_char;mode;design;offdesign;interface;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;igva;igva_set;igva_var;Sirr;Sirr_set;Sirr_var;char_map;char_map_set;char_map_method;char_map_param;eta_s_char;eta_s_char_set;eta_s_char_method;eta_s_char_param
compressor stage 1;compressor;['input power'];[None];[36238462.14772101];['0x7fa4b3d86a58'];auto;['eta_s'];['eta_s_char'];False;36238462.14772101;False;False;0.8500000000000002;True;False;5.0;True;False;0;False;False;11548.511125189956;False;False;0x7fa4b3d39668;False;GENERIC;nan;0x7fa4b3d397b8;False;default;m
compressor stage 2;compressor;['input power'];[None];[73761537.85227898];['0x7fa4b3d86a58'];auto;['eta_s'];['eta_s_char'];False;73761537.85227898;False;False;0.8499999999999879;True;False;13.173430386173386;False;False;0;False;False;16402.03843941031;False;False;0x7fa4b3d396a0;False;GENERIC;nan;0x7fa4b3d397b8;False;default;m
