id;s;s_id;t;t_id;m;m_unit;p;p_unit;h;h_unit;T;T_unit;x;x_unit;Air;INCOMP::S800
0x7f53934f5358;cas;out1;tes discharger;in2;217.35944448077146;kg / s;52.85714285714286;bar;418.59376741051443;kJ / kg;29.999999999992497;C;nan;nan;1;0
0x7f53934f5630;tes discharger;out2;turb1;in1;217.35944448077146;kg / s;50.77256342903072;bar;614.7060283185522;kJ / kg;215.0000000000103;C;nan;nan;1;0
0x7f53934f57b8;turb1;out1;reheater;in2;217.35944448077146;kg / s;5.335297090511711;bar;451.11530853825604;kJ / kg;52.308231976426384;C;nan;nan;1;0
0x7f53934f5940;reheater;out2;turb2;in1;217.35944448077146;kg / s;5.073934227517857;bar;616.9729291411105;kJ / kg;215.00000000000176;C;nan;nan;1;0
0x7f53934f5ac8;turb2;out1;ambient;in1;217.35944448077146;kg / s;1.0;bar;448.8424688965149;kJ / kg;49.238816245935595;C;nan;nan;1;0
0x7f53a2a5ada0;hot tank;out1;spliter 1;in1;241.18381208079177;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f53934f5e10;spliter 1;out1;tes discharger;in1;123.6031425956189;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e2e8;spliter 1;out2;reheater;in1;117.58066948517285;kg / s;10.0;bar;375.838171874495;kJ / kg;230.0;C;nan;nan;0;1
0x7f539349e470;tes discharger;out1;merge 1;in1;123.6031425956189;kg / s;9.698902911245984;bar;30.969496275383705;kJ / kg;38.65807502729825;C;nan;nan;0;1
0x7f539349e5f8;reheater;out1;merge 1;in2;117.58066948517285;kg / s;9.698902911245984;bar;69.23402992678243;kJ / kg;61.71383883491791;C;nan;nan;0;1
0x7f539349e780;merge 1;out1;cold tank;in1;241.18381208079177;kg / s;9.698902911245984;bar;49.62402140894556;kJ / kg;49.966162473933025;C;nan;nan;0;1
